"84518917","84518943","DCH","DE","Germany","Sachsen","Falkenstein"
"84603953","84603956","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"85361802","85361802","PUB","IL","Israel","HaMerkaz","Petah Tikva"
"86016995","86017005","DCH","BG","Bulgaria","Plovdiv","Plovdiv"
"86181718","86181718","PUB","RU","Russian Federation","Moskva","Moscow"
"86203833","86203968","DCH","RU","Russian Federation","Sankt-Peterburg","Saint Petersburg"
"86215338","86215338","DCH","RU","Russian Federation","Severnaya Osetiya, Respublika","Vladikavkaz"
"86219215","86219215","DCH","RU","Russian Federation","Severnaya Osetiya, Respublika","Vladikavkaz"
"86220483","86220483","DCH","RU","Russian Federation","Severnaya Osetiya, Respublika","Vladikavkaz"
"86454384","86454387","DCH","IT","Italy","Lombardia","Milan"
"86507027","86507041","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"86642936","86642936","PUB","RU","Russian Federation","Moskovskaya oblast'","Lukhovitsy"
"86648568","86648568","PUB","RU","Russian Federation","Moskovskaya oblast'","Lukhovitsy"
"86654218","86654218","PUB","RU","Russian Federation","Moskovskaya oblast'","Lukhovitsy"
"86679166","86679166","PUB","FR","France","Provence-Alpes-Cote-d'Azur","Marseille"
"86852320","86852320","PUB","NL","Netherlands (Kingdom of the)","Drenthe","Meppel"
"87388384","87388384","PUB","UA","Ukraine","Kyivska oblast","Boyarka"
"87683595","87683606","DCH","SE","Sweden","Kronobergs lan","Vaxjo"
"87816214","87816214","PUB","IT","Italy","Lazio","Pomezia"
"87979776","87980031","DCH","SG","Singapore","Singapore","Singapore"
"88853255","88853255","PUB","DE","Germany","Bayern","Nuremberg"
"89004555","89004555","PUB","US","United States of America","Oregon","Hillsboro"
"89012811","89012833","DCH","US","United States of America","Oregon","Hillsboro"
"89022031","89022033","DCH","US","United States of America","Oregon","Hillsboro"
"89033173","89033173","PUB","US","United States of America","Oregon","Hillsboro"
"89053763","89053763","PUB","US","United States of America","Oregon","Hillsboro"
"89352379","89352445","DCH","IT","Italy","Calabria","Settingiano"
"90528821","90528824","DCH","RU","Russian Federation","Tverskaya oblast'","Kashin"
"90593124","90593131","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","Milton Keynes"
"92604904","92605191","DCH","PL","Poland","Pomorskie","Gdansk"
"92657992","92657993","VPN","SE","Sweden","Stockholms lan","Stockholm"
