"16777216","16777471","DCH","AU","Australia","Queensland","Brisbane","APNIC and CloudFlare DNS Resolver Project","cloudflare.com"
"17804048","17804501","DCH","CN","China","Shanghai","Shanghai","Tencent Cloud Computing (Beijing) Co. Ltd.","tencent.com"
"20349464","20349464","VPN","VN","Viet Nam","Ha Noi","Hanoi","FPT Broadband Service","fpt.com.vn"
"24482170","24482657","DCH","CN","China","Beijing","Beijing","Tencent Cloud Computing (Beijing) Co. Ltd.","tencent.com"
"33606977","33607899","DCH","US","United States of America","Virginia","Redwood","Oracle Svenska AB","oracle.com"
"34961894","34961896","DCH","NL","Netherlands (Kingdom of the)","Noord-Holland","Amsterdam","Akamai International BV","akamai.com"
"35337216","35337265","DCH","FI","Finland","Uusimaa","Helsinki","Xorek.Cloud Helsinki","xorek.cloud"
"37272593","37272593","DCH","US","United States of America","Texas","Dallas","Clouvider Limited","clouvider.co.uk"
"37295872","37295874","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Internet Utilities Europe and Asia Limited","cyberassets.ae"
"37407089","37407089","PUB","US","United States of America","California","Los Angeles","Kuroit LLC","kuroit.com"
"37464403","37464409","DCH","NL","Netherlands (Kingdom of the)","Zuid-Holland","Naaldwijk","WorldStream B.V.","worldstream.nl"
"42511931","42511931","VPN","ES","Spain","Catalunya","Barcelona","Telefonica de Espana Sau","telefonica.com"
"47179488","47179495","DCH","DE","Germany","Hessen","Eschborn","Karl Roll","vodafone-ip.de"
"50330893","50330893","DCH","US","United States of America","California","Los Angeles","Arelion Sweden AB","arelion.com"
"50376756","50376768","DCH","SG","Singapore","Singapore","Singapore","Amazon Data Services Singapore","amazon.com"
"50472136","50472151","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"50801968","50802006","DCH","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com"
"50878381","50878381","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com"
"50894434","50894436","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com"
"50911000","50911000","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com"
"50970423","50970423","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com"
"51038160","51038169","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com"
"51136774","51136774","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51173376","51174399","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51270734","51270734","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51313656","51313656","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51323524","51323546","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51356975","51356976","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51368587","51368612","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51386223","51386232","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51401602","51401602","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51426646","51426646","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51459867","51459874","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51484022","51484032","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51498852","51498856","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51591041","51591103","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51633812","51633835","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51713468","51713468","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51749397","51749401","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51790394","51790457","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51830157","51830188","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51867892","51867892","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"51993313","51993313","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com"
"52047293","52047293","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com"
"52131722","52131722","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com"
"52166656","52166675","DCH","AE","United Arab Emirates","Dubayy","Dubai","Amazon Technologies Inc.","amazon.com"
"52222489","52222494","DCH","AE","United Arab Emirates","Dubayy","Dubai","Amazon Technologies Inc.","amazon.com"
"52293824","52293831","DCH","AE","United Arab Emirates","Dubayy","Dubai","Amazon Technologies Inc.","amazon.com"
"52606284","52606284","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com"
"52661601","52661639","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com"
"52705946","52705991","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com"
"52768304","52768369","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com"
"52865159","52865203","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com"
"52947041","52947062","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com"
"54581132","54581166","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"54758046","54758107","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"54914793","54914860","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"55006181","55006218","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"55134743","55134936","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"55303535","55303700","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"55482229","55482555","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"55584114","55584114","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"55649695","55649695","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"55731863","55731863","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"55816500","55816500","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"55904951","55904951","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"55981877","55981877","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"56059457","56059457","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"56121337","56121337","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"56186823","56186823","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"56274498","56274498","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"56353786","56353794","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"56473649","56473649","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"56593043","56593043","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"56658356","56658358","DCH","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com"
"56674278","56674309","DCH","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com"
"56768013","56768013","PUB","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com"
"56855880","56855880","PUB","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com"
"56873347","56873347","PUB","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com"
"56966326","56966348","DCH","US","United States of America","California","San Francisco","Amazon.com Inc.","amazon.com"
"56979704","56979704","PUB","US","United States of America","California","San Francisco","Amazon.com Inc.","amazon.com"
"57020087","57020100","DCH","NZ","New Zealand","Auckland","Auckland","Amazon Technologies Inc.","amazon.com"
"57068065","57068174","DCH","NZ","New Zealand","Auckland","Auckland","Amazon Technologies Inc.","amazon.com"
"57100400","57100409","DCH","NZ","New Zealand","Auckland","Auckland","Amazon Technologies Inc.","amazon.com"
"57227178","57227178","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com"
"57344874","57344874","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com"
"57394263","57394263","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com"
"57476514","57476692","DCH","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com"
"57562019","57562019","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com"
"57589324","57589324","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com"
"57662270","57662270","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com"
"57710226","57710254","DCH","JP","Japan","Tokyo","Tokyo","Amazon Data Services Japan","amazon.com"
"57740343","57740381","DCH","JP","Japan","Tokyo","Tokyo","Amazon Data Services Japan","amazon.com"
"58205778","58205778","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"58308439","58308439","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"58392164","58392183","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"58585324","58585324","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"58728556","58728593","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"58772824","58772824","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"58802149","58802149","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"58872626","58875994","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"59037278","59037278","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"59077495","59077499","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"59087215","59087237","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
