"0","0","-","-","-","-","0.000000","0.000000","-","-","Unspecified","-","-","-","-","-","-","-","-","-"
"281470699874048","281470699874303","TH","Thailand","Lop Buri","Chai Badan","15.206140","101.136830","15130","+07:00","TOT Public Company Limited","tot.co.th","DSL","66","036","THXX0053","Lopburi","520","15/47","TOT 3G"
"281470700738023","281470700738047","JP","Japan","Tokyo","Tokyo","35.689497","139.692317","100-0000","+09:00","Infosphere","sphere.ad.jp","DSL","81","042","JAXX0085","Tokyo","-","-","-"
"281470701575424","281470701575679","TH","Thailand","Nonthaburi","Mueang Nonthaburi","13.860750","100.514770","10290","+07:00","Total Access Communication PLC","dtac.co.th","DSL","66","02","THXX0002","Bangkok","520","18","dtac"
"281470702243072","281470702248703","CN","China","Heilongjiang","Harbin","45.750000","126.650000","150001","+08:00","China Unicom Heilongjiang Province Network","chinaunicom.com","DSL","86","0451","CHXX0046","Harbin","-","-","-"
"281470705917952","281470705918207","JP","Japan","Fukushima","Tamuramachi-moriyama","37.330930","140.408800","962-0721","+09:00","SoftBank Corp.","softbank.jp","DSL","81","024","JAXX0019","Hitachi","440","04/06/20/40/41/42/43/44/45/46/47/48/90/92/93/94/95/96/97/98","SoftBank"
"281470707748352","281470707748863","AU","Australia","Western Australia","Perth","-31.952240","115.861400","6003","+08:00","Telstra Limited","telstra.com.au","DSL","61","08","ASXX0089","Perth","505","01/71/72","Telstra"
"281470709011712","281470709012479","TW","Taiwan (Province of China)","Taipei","Taipei","25.038171","121.563599","10048","+08:00","Chunghwa Telecom Co. Ltd.","cht.com.tw","DSL","886","02","TWXX0021","Taipei","466","11/92","Chunghwa LDM"
"281470709736448","281470709736703","TW","Taiwan (Province of China)","Hsinchu","Hsinchu","24.803610","120.968430","300","+08:00","Chunghwa Telecom Co. Ltd.","cht.com.tw","DSL","886","03","TWXX0009","Hsin-chu","466","11/92","Chunghwa LDM"
"281470710287584","281470710287631","TH","Thailand","Chaiyaphum","Chaiyaphum","15.810470","102.028810","36170","+07:00","TOT Public Company Limited","tot.co.th","DSL","66","044","THXX0038","Chaiyaphum","520","15/47","TOT 3G"
